"Categoria","Metodo","Alternativa","Puntaje","Posicion","Tipo","Ganador","Num_Respuestas","Total_Alternativas"
"desarrollo_profesional","Borda","Ferias de Empleo y Prácticas Especializadas","195.0","1.0","Puntaje Borda","","",""
"desarrollo_profesional","Borda","Talleres de Habilidades Profesionales Esenciales","175.0","2.0","Puntaje Borda","","",""
"desarrollo_profesional","Borda","Talleres de Herramientas Profesionales (Workshops IEEE)","171.0","3.0","Puntaje Borda","","",""
"desarrollo_profesional","Borda","Proyectos Interdisciplinarios (Hackathons / Challenges IEEE)","156.0","4.0","Puntaje Borda","","",""
"desarrollo_profesional","Borda","Charlas con Profesionales Destacados (IEEE Technical Talks)","148.0","5.0","Puntaje Borda","","",""
"desarrollo_profesional","Borda","Visitas Técnicas a Empresas (IEEE Industrial Visits)","147.0","6.0","Puntaje Borda","","",""
"desarrollo_profesional","Borda","Programas de Mentoría Personalizada (IEEE Mentoring Program)","142.0","7.0","Puntaje Borda","","",""
"desarrollo_profesional","Kemeny-Young","Ferias de Empleo y Prácticas Especializadas","66.0","1.0","Puntaje Kemeny","","",""
"desarrollo_profesional","Kemeny-Young","Talleres de Herramientas Profesionales (Workshops IEEE)","24.0","2.0","Puntaje Kemeny","","",""
"desarrollo_profesional","Kemeny-Young","Talleres de Habilidades Profesionales Esenciales","36.0","3.0","Puntaje Kemeny","","",""
"desarrollo_profesional","Kemeny-Young","Proyectos Interdisciplinarios (Hackathons / Challenges IEEE)","12.0","4.0","Puntaje Kemeny","","",""
"desarrollo_profesional","Kemeny-Young","Visitas Técnicas a Empresas (IEEE Industrial Visits)","8.0","5.0","Puntaje Kemeny","","",""
"desarrollo_profesional","Kemeny-Young","Charlas con Profesionales Destacados (IEEE Technical Talks)","0.0","6.0","Puntaje Kemeny","","",""
"desarrollo_profesional","Kemeny-Young","Programas de Mentoría Personalizada (IEEE Mentoring Program)","0.0","7.0","Puntaje Kemeny","","",""
"desarrollo_profesional","Schulze","Ferias de Empleo y Prácticas Especializadas","195.0","1.0","Fuerza Neta Schulze","","",""
"desarrollo_profesional","Schulze","Talleres de Herramientas Profesionales (Workshops IEEE)","121.0","2.0","Fuerza Neta Schulze","","",""
"desarrollo_profesional","Schulze","Talleres de Habilidades Profesionales Esenciales","68.0","3.0","Fuerza Neta Schulze","","",""
"desarrollo_profesional","Schulze","Proyectos Interdisciplinarios (Hackathons / Challenges IEEE)","-6.0","4.0","Fuerza Neta Schulze","","",""
"desarrollo_profesional","Schulze","Visitas Técnicas a Empresas (IEEE Industrial Visits)","-69.0","5.0","Fuerza Neta Schulze","","",""
"desarrollo_profesional","Schulze","Charlas con Profesionales Destacados (IEEE Technical Talks)","-153.0","6.0","Fuerza Neta Schulze","","",""
"desarrollo_profesional","Schulze","Programas de Mentoría Personalizada (IEEE Mentoring Program)","-156.0","7.0","Fuerza Neta Schulze","","",""
"infraestructura_academica","Borda","Renovación de laboratorios especializados (computación, electrónica, química, mecánica, etc.)","212.0","1.0","Puntaje Borda","","",""
"infraestructura_academica","Borda","Modernización de aulas (pantallas interactivas, mejor iluminación, ventilación, acústica)","197.0","2.0","Puntaje Borda","","",""
"infraestructura_academica","Borda","Mejora de la conectividad Wi-Fi en toda la facultad","174.0","3.0","Puntaje Borda","","",""
"infraestructura_academica","Borda","Expansión de áreas de estudio y coworking para estudiantes.","145.0","4.0","Puntaje Borda","","",""
"infraestructura_academica","Borda","Mejora de la biblioteca (libros actualizados, bases de datos, espacios de estudio)","145.0","5.0","Puntaje Borda","","",""
"infraestructura_academica","Borda","Incremento de salas con equipos de videoconferencia y clases híbridas.","136.0","6.0","Puntaje Borda","","",""
"infraestructura_academica","Borda","Ampliación de zonas de descanso y convivencia estudiantil","125.0","7.0","Puntaje Borda","","",""
"infraestructura_academica","Kemeny-Young","Renovación de laboratorios especializados (computación, electrónica, química, mecánica, etc.)","100.0","1.0","Puntaje Kemeny","","",""
"infraestructura_academica","Kemeny-Young","Modernización de aulas (pantallas interactivas, mejor iluminación, ventilación, acústica)","86.0","2.0","Puntaje Kemeny","","",""
"infraestructura_academica","Kemeny-Young","Mejora de la conectividad Wi-Fi en toda la facultad","36.0","3.0","Puntaje Kemeny","","",""
"infraestructura_academica","Kemeny-Young","Expansión de áreas de estudio y coworking para estudiantes.","14.0","4.0","Puntaje Kemeny","","",""
"infraestructura_academica","Kemeny-Young","Mejora de la biblioteca (libros actualizados, bases de datos, espacios de estudio)","8.0","5.0","Puntaje Kemeny","","",""
"infraestructura_academica","Kemeny-Young","Incremento de salas con equipos de videoconferencia y clases híbridas.","6.0","6.0","Puntaje Kemeny","","",""
"infraestructura_academica","Kemeny-Young","Ampliación de zonas de descanso y convivencia estudiantil","0.0","7.0","Puntaje Kemeny","","",""
"infraestructura_academica","Schulze","Renovación de laboratorios especializados (computación, electrónica, química, mecánica, etc.)","212.0","1.0","Fuerza Neta Schulze","","",""
"infraestructura_academica","Schulze","Modernización de aulas (pantallas interactivas, mejor iluminación, ventilación, acústica)","143.0","2.0","Fuerza Neta Schulze","","",""
"infraestructura_academica","Schulze","Mejora de la conectividad Wi-Fi en toda la facultad","66.0","3.0","Fuerza Neta Schulze","","",""
"infraestructura_academica","Schulze","Expansión de áreas de estudio y coworking para estudiantes.","-43.0","4.0","Fuerza Neta Schulze","","",""
"infraestructura_academica","Schulze","Mejora de la biblioteca (libros actualizados, bases de datos, espacios de estudio)","-44.0","5.0","Fuerza Neta Schulze","","",""
"infraestructura_academica","Schulze","Incremento de salas con equipos de videoconferencia y clases híbridas.","-134.0","6.0","Fuerza Neta Schulze","","",""
"infraestructura_academica","Schulze","Ampliación de zonas de descanso y convivencia estudiantil","-200.0","7.0","Fuerza Neta Schulze","","",""
"bienestar_estudiantil","Borda","Programas deportivos (gimnasio, entrenadores, ligas internas)","203.0","1.0","Puntaje Borda","","",""
"bienestar_estudiantil","Borda","Talleres de salud mental y bienestar emocional","194.0","2.0","Puntaje Borda","","",""
"bienestar_estudiantil","Borda","Clubes estudiantiles y financiamiento de proyectos","171.0","3.0","Puntaje Borda","","",""
"bienestar_estudiantil","Borda","Actividades de integración y networking estudiantil","155.0","4.0","Puntaje Borda","","",""
"bienestar_estudiantil","Borda","Actividades culturales (música, teatro, diseño, exposiciones)","150.0","5.0","Puntaje Borda","","",""
